reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ccda6b60-8d26-4f10-9c17-59381d71c962,Ameet Sarker,https://play-lh.googleusercontent.com/a-/ALV-UjXoAjgd8sGQ1v4mem91_SwnbLWgspRh2HwTU5GyXAUuL1-u6TM,"great platform to steal public data & idea, Takes infinite time to process image, don't care about how to respect community & people, made for those lazy people, waiting over time for final result, 👎👎👎👎👎👎",1,0,,2025-12-10 00:40:08,,,
86f02a0c-3acf-43d8-b6de-b27383eb6cc8,Burt Keefer,https://play-lh.googleusercontent.com/a/ACg8ocJET0xaDHjGRHDl2U_a7IkmGfSWyY_utzj9YGP8FJgEEOGrrw=mo,"so easy to interact with, love how it explains things",5,0,1.2025.336,2025-12-10 00:39:28,,,1.2025.336
c22129ae-5d95-4386-8364-cf24a593e8ae,Vinod Tirkey,https://play-lh.googleusercontent.com/a-/ALV-UjW7XYKUwyOk-ksovUsc-D_AP2INXlV2PgYiUnEq_fHVeepFWFNb,good,5,0,1.2025.308,2025-12-10 00:39:20,,,1.2025.308
0c3174ae-1d58-4808-ba82-03b960b45c7b,Jhili Ghadia,https://play-lh.googleusercontent.com/a/ACg8ocIntK-d6vAxEVnRq23iTOfHnYe9BMASn607ez3ftcvM8Ex-7A=mo,very helpful and amazing so nice and excellent service 👍,5,0,1.2025.336,2025-12-10 00:39:18,,,1.2025.336
46da6633-42a8-40a9-b963-c94fc41de2cb,Vinayak Sonawane,https://play-lh.googleusercontent.com/a-/ALV-UjWwqA_com2YH7fPwD_E1bLAtE6OG_w4qKPYOknqokCxo187bHJ4,good,5,0,1.2025.336,2025-12-10 00:39:07,,,1.2025.336
ea3dbb2c-e11b-41d6-ad37-b887a8335b2c,Nour Alkarkoukli,https://play-lh.googleusercontent.com/a-/ALV-UjXsGWN9Klie7OEU11-UPmzgBczUrSpwHKzMRQk7ZMOh9jJ2cfpo,very helpful and good,5,0,1.2025.329,2025-12-10 00:38:28,,,1.2025.329
9c0051d3-4480-4119-96e3-54ab25619553,Jamaica Mae,https://play-lh.googleusercontent.com/a/ACg8ocJpyUHj9AnkKbDfRQUYESXqAsixrewumECAH6IW6YOCVMO5PA=mo,good,4,0,1.2025.336,2025-12-10 00:36:38,,,1.2025.336
5c156783-3a96-40ce-aae1-6888ec29c07a,Samim Ahmedi,https://play-lh.googleusercontent.com/a-/ALV-UjXsMIhJgNhMu2o4Sy43RzAVyCfGn7J8TfiH25tP_7nJ1s3qJobg,very good 👍,5,0,1.2025.329,2025-12-10 00:36:05,,,1.2025.329
9bbdfe33-a41a-445e-8d7d-03f7a652ffed,Fadumo,https://play-lh.googleusercontent.com/a-/ALV-UjXM1P2IDtCMVf6Wf2W0_0HwurSqmmXhpDzmV8jxGgwgNxLEcxy0,your the best workers to for us this beautiful app thank you so much,5,0,1.2025.329,2025-12-10 00:34:37,,,1.2025.329
32b3af91-59bb-4308-bdd8-3251a5b40868,Hadis Borjak,https://play-lh.googleusercontent.com/a/ACg8ocJqNOoMugM2v6Wv6m-q0Wx48fLxxWMSOb0J0ZuNhQOyBBg7WQ=mo,perfect,5,0,1.2025.336,2025-12-10 00:34:24,,,1.2025.336
2f2e66b0-061f-42b5-b539-f0d85f324440,Aiman Malik,https://play-lh.googleusercontent.com/a/ACg8ocI_b8dYJoPOF_-lC7xyR7heIeqEsaDTEFjPz74RmSgIP0JB=mo,I think this is great,5,0,1.2025.329,2025-12-10 00:33:59,,,1.2025.329
42961708-64fb-4f49-a266-db9df1f49c10,Aditya Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjVNsdZWAukE-bZOYUufQptdsCWSNXM--qFQINOoG9yro_dWEH7Y,very nice,5,0,1.2025.336,2025-12-10 00:33:31,,,1.2025.336
c388bc2a-a9a5-4489-8445-4ee7d15ac4f8,Jun pei Yu,https://play-lh.googleusercontent.com/a/ACg8ocJG200J5LCGIHL4SOJtaQmxfVif9fEwDBiE1RuXnMIAgOtimg=mo,very useful,5,0,1.2025.336,2025-12-10 00:33:19,,,1.2025.336
